age,sex,race,priors_count,charge_degree,risk_score,risk_label,reoffended
69,Male,Other,0,F,1,Low,0
34,Male,African-American,0,F,3,Low,1
24,Male,African-American,4,F,4,Low,1
23,Male,African-American,1,F,8,High,0
43,Male,Other,2,F,1,Low,0
44,Male,Other,0,M,1,Low,0
41,Male,Caucasian,14,F,6,Medium,1
43,Male,Other,3,F,4,Low,0
39,Female,Caucasian,0,M,1,Low,0
21,Male,Caucasian,1,F,3,Low,1
27,Male,Caucasian,0,F,4,Low,0
23,Male,African-American,3,M,6,Medium,1
37,Female,Caucasian,0,M,1,Low,0
41,Male,African-American,0,F,4,Low,0
47,Female,Caucasian,1,F,1,Low,1
31,Male,African-American,7,F,3,Low,1
37,Male,Hispanic,0,M,1,Low,0
25,Male,African-American,3,F,10,High,0
31,Male,Caucasian,6,F,5,Medium,1
31,Male,Caucasian,5,F,3,Low,1
64,Male,African-American,13,F,6,Medium,1
21,Male,African-American,1,F,9,High,1
27,Male,Caucasian,0,M,2,Low,1
21,Female,Caucasian,0,F,4,Low,0
24,Male,Hispanic,1,F,4,Low,1
43,Male,Caucasian,1,M,1,Low,0
32,Male,Other,0,M,3,Low,0
27,Male,African-American,8,F,3,Low,1
36,Female,Caucasian,3,F,3,Low,0
26,Male,African-American,5,F,7,Medium,1
33,Male,African-American,0,F,10,High,1
30,Male,Caucasian,9,F,9,High,1
32,Male,African-American,4,F,8,High,1
55,Male,Caucasian,0,F,1,Low,0
49,Male,Other,7,F,3,Low,1
26,Male,Caucasian,6,M,8,High,0
33,Female,Caucasian,4,M,5,Medium,1
24,Male,Caucasian,1,M,2,Low,1
34,Male,African-American,21,F,9,High,1
29,Male,Caucasian,0,M,2,Low,0
21,Female,African-American,2,F,8,High,0
51,Male,African-American,2,M,1,Low,0
29,Male,Caucasian,2,M,2,Low,1
51,Female,African-American,7,F,2,Low,0
29,Male,African-American,0,F,7,Medium,1
25,Male,Caucasian,9,M,10,High,1
35,Male,African-American,13,F,8,High,1
49,Male,Caucasian,0,M,1,Low,0
34,Male,African-American,4,M,3,Low,1
29,Male,African-American,0,F,4,Low,0
29,Male,Caucasian,1,F,2,Low,1
28,Female,Other,0,F,2,Low,0
48,Male,Caucasian,20,F,6,Medium,1
63,Female,Hispanic,1,F,1,Low,0
31,Male,African-American,15,F,5,Medium,0
24,Male,African-American,2,F,4,Low,1
30,Male,Hispanic,0,M,7,Medium,0
49,Male,African-American,4,M,1,Low,0
53,Male,Caucasian,8,F,5,Medium,0
35,Male,African-American,5,F,3,Low,0
63,Male,African-American,10,M,7,Medium,1
27,Male,African-American,15,F,10,High,1
38,Male,Caucasian,4,M,2,Low,1
22,Male,African-American,1,F,4,Low,1
22,Male,African-American,2,F,10,High,1
29,Male,African-American,4,F,9,High,1
62,Male,Hispanic,0,M,1,Low,0
27,Male,African-American,6,F,6,Medium,1
33,Male,Other,0,M,1,Low,0
56,Female,African-American,0,M,1,Low,0
45,Male,Hispanic,6,F,1,Low,1
22,Male,Hispanic,1,F,4,Low,0
39,Male,African-American,1,M,4,Low,0
29,Male,African-American,5,F,6,Medium,1
27,Male,Caucasian,1,F,6,Medium,1
40,Male,African-American,2,F,2,Low,0
22,Male,African-American,1,M,3,Low,1
22,Male,Caucasian,0,F,8,High,0
26,Female,African-American,1,F,4,Low,1
27,Male,Caucasian,1,F,7,Medium,1
32,Male,African-American,0,F,2,Low,0
41,Male,African-American,1,M,2,Low,0
30,Male,African-American,8,M,10,High,1
50,Male,Other,0,F,1,Low,1
25,Male,African-American,14,F,10,High,1
20,Male,Other,0,F,5,Medium,1
22,Male,African-American,2,F,9,High,1
23,Male,African-American,2,M,7,Medium,1
35,Female,African-American,1,M,2,Low,0
36,Male,African-American,9,F,7,Medium,1
26,Male,Caucasian,7,F,8,High,1
21,Male,Other,1,F,6,Medium,1
25,Male,Caucasian,9,F,8,High,1
71,Male,African-American,12,M,7,Medium,0
20,Female,Caucasian,0,F,7,Medium,0
39,Male,Caucasian,2,F,1,Low,1
66,Male,Caucasian,3,F,1,Low,0
54,Female,Caucasian,0,M,1,Low,0
44,Female,Hispanic,0,M,1,Low,0
19,Male,African-American,1,M,4,Low,1
24,Male,African-American,1,F,2,Low,0
30,Male,African-American,1,F,2,Low,0
39,Female,Caucasian,0,F,1,Low,1
24,Male,Caucasian,8,F,6,Medium,1
30,Male,Caucasian,0,F,4,Low,0
31,Male,Caucasian,0,M,5,Medium,0
39,Female,Caucasian,1,F,4,Low,0
59,Male,African-American,14,F,9,High,1
43,Male,Caucasian,1,F,1,Low,0
21,Male,African-American,3,F,9,High,1
38,Male,Caucasian,5,M,4,Low,1
34,Male,Caucasian,0,F,5,Medium,0
33,Male,African-American,5,F,5,Medium,1
37,Male,African-American,3,F,2,Low,0
42,Male,Caucasian,1,F,2,Low,1
41,Male,African-American,10,F,9,High,1
22,Male,African-American,0,F,4,Low,1
33,Male,African-American,28,F,8,High,1
31,Male,African-American,1,M,7,Medium,0
30,Female,Other,1,F,2,Low,0
31,Male,Caucasian,13,F,10,High,1
27,Male,African-American,3,F,9,High,1
56,Male,African-American,8,F,9,High,0
52,Male,Caucasian,3,M,9,High,0
33,Male,African-American,19,F,10,High,1
64,Female,Caucasian,2,M,1,Low,0
22,Male,Caucasian,4,F,6,Medium,1
42,Male,Caucasian,6,F,3,Low,0
25,Female,Caucasian,2,F,4,Low,0
30,Male,Caucasian,1,M,2,Low,0
28,Male,Caucasian,2,F,1,Low,0
37,Female,Other,2,M,2,Low,0
28,Male,Caucasian,0,M,2,Low,1
24,Female,African-American,0,M,2,Low,0
29,Female,Caucasian,10,F,4,Low,1
44,Male,Caucasian,2,M,2,Low,1
30,Female,Hispanic,4,F,5,Medium,1
32,Male,African-American,3,F,7,Medium,1
31,Male,Caucasian,2,M,3,Low,1
31,Male,African-American,1,M,2,Low,0
59,Male,Caucasian,1,F,2,Low,1
45,Female,Caucasian,4,F,4,Low,0
20,Female,African-American,1,F,10,High,0
43,Female,Caucasian,0,M,1,Low,0
38,Male,African-American,9,F,8,High,1
32,Male,African-American,11,F,6,Medium,1
33,Male,African-American,8,M,5,Medium,1
31,Female,African-American,0,F,3,Low,1
33,Female,African-American,7,F,9,High,1
27,Male,African-American,2,F,9,High,1
20,Female,African-American,0,F,6,Medium,0
26,Female,Caucasian,0,M,6,Medium,0
61,Female,African-American,1,F,1,Low,1
52,Male,Other,13,F,7,Medium,1
63,Male,Hispanic,1,F,1,Low,0
32,Female,African-American,4,F,10,High,1
29,Male,Hispanic,1,F,4,Low,0
46,Female,Other,1,F,2,Low,0
26,Female,African-American,2,M,4,Low,1
55,Male,African-American,3,M,1,Low,0
39,Male,Caucasian,1,M,4,Low,0
30,Female,Caucasian,3,F,7,Medium,1
30,Male,African-American,1,F,7,Medium,0
48,Male,Caucasian,2,M,2,Low,0
22,Male,African-American,1,F,2,Low,0
46,Male,Caucasian,6,F,1,Low,1
49,Female,Caucasian,6,F,6,Medium,0
31,Male,Caucasian,0,F,5,Medium,0
25,Male,African-American,1,M,2,Low,1
23,Male,Hispanic,0,F,3,Low,0
32,Female,African-American,5,F,7,Medium,0
52,Male,Hispanic,2,M,1,Low,0
62,Male,African-American,8,F,4,Low,0
37,Female,Caucasian,6,F,10,High,0
55,Male,Caucasian,1,F,1,Low,0
31,Male,Hispanic,8,F,9,High,1
28,Male,African-American,6,M,6,Medium,1
54,Male,Hispanic,2,F,1,Low,0
58,Male,Hispanic,0,F,2,Low,0
78,Male,Caucasian,1,M,1,Low,1
56,Male,Caucasian,0,F,1,Low,0
24,Male,Other,0,F,2,Low,0
38,Male,African-American,22,F,8,High,1
22,Male,African-American,1,F,5,Medium,1
47,Male,African-American,23,M,8,High,1
23,Male,African-American,0,M,2,Low,1
